Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,12.9,,12.7,2.78,177,,PrattWelker
DM,9.3,,7.7,9.63,66,,PrattWelker
DM,10.2,,9.2,10.6,69,,PrattWelker
DM,8.96,0.214285714,5.56,12.6,50.3,2.066666667,PrattWelker
DM,9.3,,9.4,4.5,39,,PrattWelker
DM,8.43,0.352941176,6.72,7.72,40.8,1.541666667,PrattWelker
DM,10.7,,7.9,4.82,60,,PrattWelker
DM,10.1,,8.1,12.3,29,,PrattWelker
DM,9.13,0.265625,7.46,5.58,47.6,2.588235294,PrattWelker
DM,10.4,,8.6,4.67,47,,PrattWelker
DM,7.17,0.3,4.16,4.93,49.2,2.333333333,PrattWelker
DM,4.97,0.195652174,4.05,9.63,25.8,2.666666667,PrattWelker
DM,5.56,0.234042553,4.69,1.63,34.6,2.454545455,PrattWelker
DM,5.3,,4.4,5.6,18,,PrattWelker
DM,,,,4.05,,,PrattWelker
DM,,,,0.6,,,PrattWelker
DM,,0.521472393,,1.05,,0.511764706,PrattWelker
DM,,0.157051282,2.99,0.61,6.62,1.714285714,PrattWelker
DM,,0.07480315,,,,3.178947368,PrattWelker
DM,,0.145631068,,,,2.444444444,PrattWelker
DM,7.68,2.71875,6.68,3.9,45.7,0.180076628,PrattWelker
DM,,0.1925,,0.87,,1.207792208,PrattWelker
DM,9.5,0.129032258,7.8,1.84,40,2.75,PrattWelker
DM,6.3,,,2.4,12,,PrattWelker
DM,,0.34280303,,,,2.513812155,PrattWelker
DM,,0.2192,,,,2.459854015,PrattWelker
DM,,0.209022556,5.96,3.1,20.4,2.143884892,PrattWelker
DM,,,,2.03,,,PrattWelker
DM,,,,1.47,,,PrattWelker
DM,,0.25257732,,,,2.591836735,PrattWelker
DM,,0.093851133,,,,1.551724138,PrattWelker
DM,,0.628881988,,,,0.627160494,PrattWelker
DM,,0.74789916,7.7,1.97,20.2,1.745318352,PrattWelker
DM,,0.393650794,,1.94,,1.665322581,PrattWelker
DM,,0.076923077,,0.87,,2,PrattWelker
DM,,0.538461538,,,,0.731092437,PrattWelker
DM,,0.287841191,3.72,0.98,12.4,1.620689655,PrattWelker
DM,,0.254847645,,,,1.902173913,PrattWelker
DM,13,,8.28,6,64,2.405405405,PrattWelker
DM,,0.389130435,,,,2.782122905,PrattWelker
DM,,0.2421875,,,,1.44516129,PrattWelker
DM,,0.295373665,4.12,0.91,18,2.060240964,PrattWelker
DM,,0.264802632,,,,2.559006211,PrattWelker
DM,,0.460526316,,,,1.361904762,PrattWelker
DM,,0.149144254,2.86,2.95,12.7,2.37704918,PrattWelker
DM,,0.475256769,,,,2.406679764,PrattWelker
DM,,0.552795031,13.8,5.8,120,2.128089888,PrattWelker
DM,,0.244604317,5.59,3.24,30.3,2.036764706,PrattWelker
DM,,0.226890756,,,,1.287037037,PrattWelker
DM,,0.25862069,,,,3.4,PrattWelker
DM,,0.310646388,,,,1.46878825,PrattWelker
DM,3.74,0.015360983,4.94,,16.8,2.7,
DM,4.79,0.178571429,5.24,,14.7,3,
DM,4.4,0.15,4.98,,13.4,3,
DM,3.13,0.152173913,3.98,,8.8,2.857142857,
