Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,1.01,0.09352518,2.11,0.826,5.7,2.487179487,
DM,3.79,,6.5,1.81,23.8,,
DM,4.08,,5.95,1.81,24.5,,
DM,2.8,0.203125,3.63,3,16.3,1.384615385,
DM,1.52,0.206896552,2.21,1.1,8,2,
DM,3.09,0.3,4.85,4.9,16.1,1.111111111,
DM,1.11,0.238095238,1.71,1,6.3,1.6,
DM,1.39,0.230769231,1.92,0.8,9,1.666666667,
DM,3.9,,6.24,1.82,20,,
DM,2.33,0.02115573,2.86,0.4,13.8,0.148148148,
DM,0.84,0.038961039,1.56,11.4,99.6,2,
DM,3.06,0.086419753,3.68,1.6,15.8,2.571428571,
DM,0.96,0.089285714,1.42,1.5,24.7,1,
DM,3.76,1.47706422,5.01,4.6,63.8,3.236024845,
DM,2.13,1.804878049,3.08,2.6,18.2,0.162162162,
DM,2.22,0.102564103,2.6,2.1,12.6,3,
DM,2.87,0.103448276,3.33,1.4,13.4,2.5,
DM,0.92,0.060606061,1.72,0.43,5.17,3.5,
DM,2.58,0.084337349,4.82,1.03,11.33,2.571428571,
DM,2.6,0.085365854,4.91,1.04,11.33,2.571428571,
DM,2.68,0.082352941,5.05,1.06,11.63,2.571428571,
DM,2.6,0.085365854,4.9,1.04,11.37,2.714285714,
DM,2.58,0.084337349,4.92,1.02,11.37,2.571428571,
DM,1.58,0.114285714,2.22,0.84,7.88,2.5,
DM,0.87,,1.82,0.62,4.5,,
DM,3.5,,5.1,2.5,23.19,,
DM,2.5,,3.5,1.1,8.9,0.85,
DM,2.9,,4.79,1.84,20.5,,
DM,3.21,0.105263158,4.72,1.84,20.1,2.875,
DM,3.99,0.11627907,5.55,2.39,23.07,2.8,
DM,3.21,0.111111111,4.76,1.63,17.5,2.875,
DM,3.26,,5.1,2.34,23.5,,
DM,3.22,0.119402985,4.33,2.53,21.5,3.125,
DM,3.45,0.138461538,4.38,2.44,21.4,2.888888889,
DM,3.47,0.130434783,4.34,2.32,21.7,2.777777778,
DM,5.57,,7.75,3.56,36.18,,
DM,6,0.140186916,7.18,4.03,37.8,3.066666667,
DM,2.64,,5.2,1.53,18.22,,
DM,4.65,,6.61,3.02,29.43,,
DM,4.38,0.087719298,5.94,2.52,27.69,3.4,
DM,,,4.7,2.1,,,
DM,0.9,0.087878788,2.51,3.54,22.4,3.655172414,
DM,0.59,0.166666667,1.19,0.3,3,1.25,
DM,,,3.76,1.32,,,
DM,,,2.36,1,,,
DM,,,2.52,1.16,,,
DM,,,0.753,0.11,1.9,,
DM,,,3.17,0.5,,,
DM,,,2.26,1.34,,,
DM,,,2.46,2.03,,,
DM,,,3.03,1.55,,,
DM,9.3,0.569620253,10.4,20,80,3.288888889,
DM,0.489,0.068062827,0.849,1.54,33,3.576923077,
DM,0.697,0.115384615,1.65,5.98,5.64,1.266666667,
DM,,0.444444444,,14.9,,2,
DM,7.17,0.053664303,,10.3,92.4,2.704845815,
DM,,0.777777778,,,,1,
DM,,,,,13.8,,IndianMOR
DM,3.25,0.107142857,4.95,1.92,13.3,2.222222222,IndianMOR
DM,0.98,0.21875,2.03,2.6,4.7,0.857142857,IndianMOR
DM,2.92,0.115384615,4.85,2.04,11.2,2.111111111,IndianMOR
DM,3.01,0.15,4.6,1.42,11.2,2,IndianMOR
DM,4.22,0.121495327,6.44,6.85,23.6,2.076923077,IndianMOR
DM,2.95,0.088888889,4.82,3.4,7.3,2.25,IndianMOR
DM,1.8,0.057971014,3.18,3.91,5.6,2.75,IndianMOR
DM,1.43,0.140625,2.59,3.23,4.4,0.888888889,IndianMOR
DM,2.06,0.176470588,3.93,2.56,10.9,1.333333333,IndianMOR
DM,1.91,0.12244898,3.2,8.52,15.7,1.833333333,IndianMOR
DM,1.88,0.140350877,3.25,1.7,8.3,1.375,IndianMOR
DM,1.45,0.125,2.42,1.12,7,2.75,IndianMOR
DM,1.48,0.117647059,2.43,3.39,3.8,1.5,IndianMOR
DM,1.69,0.068965517,2.8,2.05,6.5,2.5,IndianMOR
DM,,0.134897361,,1.33,,2,IndianMOR
DM,,0.181538462,,3.2,,1.508474576,IndianMOR
DM,,1.46978022,,3.44,,0.203738318,IndianMOR
DM,,0.677506775,,3.97,,0.36,IndianMOR
DM,2.49,0.087912088,3.76,3.62,9.9,2,IndianMOR
DM,3.67,0.043478261,5.38,3.81,9.6,2.555555556,IndianMOR
DM,2.39,0.142857143,4.6,5.02,10.2,1.5,IndianMOR
DM,1.96,0.333333333,3.8,7.42,5.6,0.875,IndianMOR
DM,2.1,0.109090909,3.86,4.11,16.2,2,IndianMOR
DM,2.12,0.109090909,3.93,1.84,11.8,2.166666667,IndianMOR
DM,2.08,0.075757576,3.95,2.3,12.1,2.4,IndianMOR
DM,2.18,0.113207547,3.39,1.92,12.6,2.166666667,IndianMOR
DM,2.32,0.132075472,4.2,4.51,11.7,1.857142857,IndianMOR
DM,2.22,0.117647059,4.27,1.15,8.7,2,IndianMOR
DM,2.27,0.111111111,4.59,3.18,8.6,1.857142857,IndianMOR
DM,1.2,0.173913043,2.46,2.13,10.9,0.75,IndianMOR
DM,1.72,0.086206897,3.43,2.22,14.4,2.2,IndianMOR
DM,2.89,0.12,5.4,2.88,17.9,2.111111111,IndianMOR
DM,2.23,0.530120482,4.3,5.6,11.5,0.295454545,IndianMOR
DM,2.05,0.12,4.27,6.07,8.7,2,IndianMOR
DM,2.55,0.114754098,4.48,5.81,6.7,2.142857143,IndianMOR
DM,1.81,0.076923077,3.58,0.84,6.8,2.5,IndianMOR
DM,2.25,0.12244898,4.47,6.52,8.1,2,IndianMOR
DM,2.21,0.172413793,4.28,2.27,15.1,1.3,IndianMOR
DM,2.26,0.234042553,4.39,4.3,9.8,1.090909091,IndianMOR
DM,0.87,0.06,2.01,4.53,2.9,1.666666667,IndianMOR
DM,,0.193675889,,4.04,,0.93877551,IndianMOR
DM,,0.07106599,,0.4,,2,IndianMOR
DM,0.32,0.071428571,1.09,0.37,0.4,2,IndianMOR
DM,,0.423280423,,3.45,,0.475,IndianMOR
DM,0.7,0.061764706,1.13,0.611,8.81,4.333333333,
DM,1.78,0.196987952,6.28,11.8,100,2.810397554,
DM,3.6,0.223952096,8.25,13,113,2.834224599,
DM,4,0.231578947,6.63,10.2,90,2.75974026,
DM,1.51,0.196456693,9.38,16.8,143,2.625250501,
DM,6,,5,2.2,26.5,3,Macquarie
DM,9.715,0.320634921,6.86,2.31,41.6,3.485148515,Macquarie
DM,0.618,0.04845815,0.746,1.96,1.29,2.909090909,Shatsky
DM,0.729,0.064864865,0.878,1.24,2.04,3,Shatsky
DM,0.669,0.130952381,0.803,3.33,16.2,3,Shatsky
DM,0.663,0.110132159,0.791,3.24,1.77,1.4,Shatsky
DM,5.2,0.572769953,4.11,2.68,21,1.385245902,Macquarie
DM,4.6,,4,4.5,24.3,1,Macquarie
DM,1.3,,1.5,4.6,11.7,,Macquarie
DM,6.58,0.105308964,5.77,3.52,31.8,3.123966942,Shatsky
DM,5.52,0.110778443,5.12,2.15,19.2,3.18018018,Shatsky
DM,7.33,0.127098321,6.92,3.92,36.3,3.213836478,Shatsky
DM,5.2,0.057610994,5.03,2.2,24.2,3.211009174,Shatsky
DM,5.16,0.218687873,5.17,2.15,18.7,3.018181818,Shatsky
DM,5.12,0.081100652,5.12,0.57,11.6,3.125,Shatsky
DM,6.29,0.190140845,6.21,1.62,29.6,3.266666667,Shatsky
DM,5.41,0.225933202,5.19,0.51,12.3,3.139130435,Shatsky
DM,5.24,0.100093545,4.87,0.26,15.5,3.373831776,Shatsky
DM,6.6,0.252931323,6.64,0.31,16.5,2.940397351,Shatsky
DM,6.86,0.12562396,6.36,2.48,25.1,3.152317881,Shatsky
DM,5.91,0.159916926,5.17,0.77,16.2,2.584415584,Shatsky
DM,5.61,0.275665399,5.47,1.83,16.3,2.627586207,Shatsky
DM,6.68,0.120575885,6.45,2.01,33.6,2.104477612,Shatsky
DM,6.14,0.190193165,6.22,3.88,25.4,3.0234375,Shatsky
DM,7.13,0.315445026,6.8,0.55,27.2,2.029045643,Shatsky
DM,7.18,0.272442589,6.18,0.99,33.5,1.850574713,Shatsky
DM,6.75,0.349442379,7.07,3.18,19.8,2.430851064,Shatsky
DM,7.55,0.248484848,6.75,0.91,20.8,3.085365854,Shatsky
DM,7.98,0.424347826,6.72,1.83,37.4,2.278688525,Shatsky
DM,5.12,0.27689243,5.16,1.81,17.4,2.374100719,Shatsky
DM,6.68,0.373970346,7,0.37,13.4,2.017621145,Shatsky
DM,4.1,0.13961039,4.05,0.764,13.4,2.941860465,Shatsky
DM,8.6,0.285714286,7.2,4.3,40.2,4.5,Macquarie
DM,5.69,0.193220339,5.74,1.04,28.4,3.140350877,Shatsky
DM,9.66,1.312,9.16,11.7,65.5,0.43902439,
DM,10.1,1.080536913,9.25,11.6,114,0.801242236,
DM,4.34,0.187136929,4.04,1.51,25.4,2.849223947,
DM,6.53,0.233856894,5.63,0.386,32.6,2.955223881,
DM,6.26,0.222222222,5.25,1.31,29.9,2.940298507,
DM,8.15,0.385507246,6.67,1.22,37.9,1.864661654,
DM,8.6,0.183046683,6.8,0.731,30.1,3.637583893,
DM,17.3,0.37254902,14.4,0.343,52.2,2.605263158,
DM,17.8,0.610576923,14.9,0.893,61.3,1.68503937,
DM,8.69,0.92206235,7.41,9.21,41,0.728218466,
DM,15,0.481914894,13.4,23,57.6,1.971302428,
DM,23,0.160194175,2.32,1.22,16,2.206060606,
DM,2.03,0.356190476,2.08,1.1,14,2.438502674,
DM,9.12,0.145,8.13,6.17,59.5,2.340996169,
DM,8.63,0.152307692,7.74,18.4,56.4,2.727272727,
DM,9.41,0.739795918,8.23,3.65,60.4,0.399310345,
DM,10.1,0.18599791,8.75,3.62,65.3,3.926966292,
DM,9.96,0.621676892,9.36,13.1,97.9,1.120065789,
DM,8.91,0.323891626,7.84,73.6,85.2,2.300380228,
DM,9.12,1.586288416,8.22,54.2,78.2,0.912071535,
DM,8.55,0.485416667,7.55,3.51,59.3,2.519313305,
DM,13.8,0.178974359,11.6,2.03,79.8,1.371060172,
DM,12.7,0.320843091,10.2,1.93,66.5,2.153284672,
DM,15.4,0.174342105,12.2,2,61.6,1.230188679,
DM,14.6,0.332758621,11.6,4.8,90.3,2.124352332,
DM,29.7,0.34,21.4,16,237,1.761437908,
DM,36.4,0.25106383,23.8,15,327,2.288135593,
DM,17.3,0.30982906,13,3.69,119,2.282758621,
DM,1.39,0.110497238,6.48,6.6,9,0.45,
DM,,0.416666667,,,,1.342857143,
DM,4.5,0.29787234,4.9,9.69,116,2.5,
DM,,0.353225806,,,,3.242009132,
DM,,0.278823529,,,,3.080168776,
EM1,28,0.19047619,23.3,26,342,8.25,EastAsia
EM1,18,0.277777778,15.6,17,228,4.6,EastAsia
EM1,31,0.172413793,26.7,28,407,7.8,EastAsia
EM1,32,0.230769231,28.5,30,381,6.833333333,EastAsia
EM1,28,0.318181818,25.5,29,374,5.285714286,EastAsia
EM1,17,0.294117647,15.6,17,233,4.8,EastAsia
EM1,18,0.277777778,16,18,229,4.6,EastAsia
EM1,18,0.277777778,15.9,17,225,4.6,EastAsia
EM1,34,0.346153846,29,26,390,4.555555556,EastAsia
EM1,27.7,0.319480519,34.6,30.2,464,4.869918699,EastAsia
EM1,18.7,0.179669031,22.2,24.1,300,4.631578947,EastAsia
EM1,48.5,0.23880597,46.5,49.7,618,5.0625,EastAsia
EM1,7.73,0.140893471,12.2,16.6,145,5.341463415,EastAsia
EM1,5.45,0.325581395,4.32,4.42,48.6,3.428571429,Indian2
EM1,7.02,0.165068493,11.4,21.7,89.9,3.734439834,Indian2
EM1,65.5,0.212168487,87.7,54.9,1842,8.529411765,Indian2
EM1,6.52,0.330618893,6.95,36.9,38.8,2.615763547,Indian2
EM1,6.48,0.103344482,17.2,44,95,2.996763754,Indian2
EM1,5.47,0.245227606,6.25,21.7,35.4,2.71257485,Indian2
EM1,6.79,0.249350649,7.49,59.8,41.1,3.234375,Indian2
EM1,8.19,0.265765766,8.34,7.56,70.5,2.281355932,Indian2
EM1,15.5,0.231891892,15.3,35.4,141,3.03030303,Indian2
EM1,4.33,0.083490566,7.69,35.4,72.8,2.480225989,Indian2
EM1,12.8,0.162546816,18,16.1,109,2.511520737,Indian2
EM1,13.5,0.112207792,15.7,26.4,128,2.615740741,Indian2
EM1,5.27,0.066946779,8.63,40.1,67.5,2.251046025,Indian2
EM1,,,,3.15,,,Indian2
EM1,,,3.12,1.65,,,Indian2
EM1,,,2.33,1.13,,,Indian2
EM1,4.71,0.181818182,4.7,3.7,36.37,3,Indian2
EM1,5.13,0.176470588,4.69,4.5,44.2,3.25,Indian2
EM1,0.23,0.005263158,0.39,0.23,2.1,2,Indian2
EM1,3.09,0.073770492,2.61,2.46,33.39,3.111111111,Indian2
EM1,7.95,0.12721519,6.63,5.34,60.2,3.910447761,Indian2
EM1,7.36,0.215968586,6.08,5.34,54.5,4.242424242,Indian2
EM1,17.9,0.338565022,15.7,20.5,200,3.57615894,IndianRidge
EM1,9,,14.7,7.08,296,,Ker
EM1,8.3,,14.6,13.1,303,,Ker
EM1,8.5,,15.6,10.6,182,,Ker
EM1,11.3,,22.5,21.2,309,,Ker
EM1,8.4,,16,20.6,320,,Ker
EM1,11.1,,19.6,33.7,213,,Ker
EM1,,,,46.7,,,Ker
EM1,8.9,,17.1,37.4,336,,Ker
EM1,,,,15.6,,,Ker
EM1,,,,19.3,,,Ker
EM1,12.7,,18.2,0.48,167,,Ker
EM1,7.8,,11.3,3.44,156,,Ker
EM1,9.1,,10.2,0.82,81,,Ker
EM1,10.4,,10.2,2.96,60,,Ker
EM1,,,,0.64,,,Ker
EM1,10.3,,11.5,21.83,324,,Ker
EM1,6.1,0.056338028,7.51,4.1,72.3,11.625,Ker
EM1,,0.062817011,,1.78,,4.751552795,Ker
EM1,12.7,0.115702479,11.2,1.3,104,8.571428571,Ker
EM1,,0.096296296,,15.2,,5.136639676,Ker
EM1,22.7,0.16875,23.2,3.1,125,4.425925926,Ker
EM1,26.8,0.090909091,21.3,14,260,3.59375,Ker
EM1,30.5,0.176706827,23.5,13,233,3.636363636,Ker
EM1,31.8,0.08365019,26.4,10.8,266,5.5,Ker
EM1,,0.202209509,,1.97,,1.902439024,Ker
EM1,,0.138345865,,7.52,,4.273097826,Ker
EM1,25.6,0.112107623,20.2,7.4,292,5.08,Ker
EM1,7.2,0.423076923,11.1,20.9,133,3.333333333,Ker
EM1,,,6.31,,,,Ker
EM1,58.3,0.330166271,46.1,41.5,564,4.057553957,SWPacific
EM1,53,0.31938326,51,24.63,700,5.820689655,SWPacific
EM1,,,,58,596,,SWPacific
EM1,36.1,0.296028881,33.6,29.1,377,4.841463415,SWPacific
EM1,4.04,0.150485437,5.14,2.3,29.2,3.725806452,SWPacific
EM1,4.38,0.36407767,7.56,3.76,34.4,1.376,SWPacific
EM1,4.15,0.309927361,5.91,7.88,17.2,1.890625,SWPacific
EM1,42.3,0.135048232,33.8,75.2,630,10.16666667,WestPac
EM1,48.8,0.121863799,29.7,29.2,594,13.61764706,WestPac
EM1,24.7,0.11738149,21,10.3,273,6.576923077,WestPac
EM1,25.4,0.104208417,45.6,21.5,502,12.13461538,WestPac
EM1,16.5,0.126550868,15,18.4,220,4.490196078,WestPac
EM1,22.6,0.115,18.3,15,386,7.956521739,WestPac
EM1,26.1,0.083129584,36.7,23.7,416,8.455882353,WestPac
EM1,44.3,0.133009709,57,47.3,823,5.109489051,WestPac
EM1,21.5,0.202492212,20.4,18.7,367,4.184615385,WestPac
EM1,34.9,0.113861386,97.8,48.2,746,5.860869565,WestPac
EM1,24.1,0.05840708,25.5,12.1,341,7.818181818,WestPac
EM1,27.7,0.113157895,30.7,18.7,398,9.581395349,WestPac
EM1,24.7,0.266375546,25.3,14.7,214,2.737704918,WestPac
EM1,59.7,0.323420074,52.5,78.3,795,3.011494253,WestPac
EM1,15.5,0.256351039,23.7,40,244,2.72972973,WestPac
EM1,16.8,0.217158177,20.2,15.7,251,5,WestPac
EM1,46.5,0.365122616,38.6,17.1,745,3.798507463,WestPac
EM1,45,0.304225352,34.8,22,706,4.62037037,WestPac
EM1,38.4,0.095689655,45.1,50.8,465,2.531531532,WestPac
EM1,,0.162790698,,13.8,,2.5,WestPac
EM1,2.8,0.356140351,3.4,19,42,1.527093596,
EM1,8.07,0.155395683,15.5,35.2,208,3.814814815,
EM1,6.355,0.308908046,5.73,5.14,67.38,2.641860465,
EM1,6.048,0.189855072,6.49,4.41,55.6,4.175572519,
EM1,5.972,0.201234568,6.96,4.85,45.4,3.116564417,
EM1,12.78,0.296688742,8.35,7.58,93.7,4.075892857,
EM1,3.42,0.053521127,,1.95,89.5,5.043859649,
EM1,1.79,0.331868132,,12.1,41.2,1.483443709,
EM1,9.3,,7.92,1.2,49,1.272727273,
EM1,4.47,,3.96,2.2,36.8,,
EM1,5.2,,3.74,0.54,9,,
EM1,13.5,,9.46,10,69,,
EM1,8.08,0.169811321,6.88,1.1,33.5,8.111111111,
EM1,3.1,0.380952381,2.78,1.4,17.2,2.875,
EM1,2.7,0.538461538,2.63,0.44,9.9,2.428571429,
EM1,4.6,0.297297297,3.84,0.13,7.2,3,
EM1,5.8,0.4,4.65,0.2,8,1.583333333,
EM1,42,0.366666667,3.82,0.78,5.5,2.454545455,
EM1,5.4,0.571428571,4.11,0.11,19.3,1.833333333,
EM1,3.6,0.173333333,3.7,0.73,17.5,2.153846154,
EM1,5.6,0.392156863,4.33,0.35,13,1.65,
EM1,5.4,0.142857143,5.67,0.74,12.5,3.375,
EM1,3.4,0.4375,2.75,0.91,18.8,1.642857143,
EM1,9,0.215189873,7.43,1.9,43,4,
EM1,13.6,0.2,10.8,19,58,21.25,
EM1,11.7,0.169491525,9.56,6.5,70,11.4,
EM1,5.2,0.2,4.71,0.61,4.4,10.75,
EM1,12.6,0.475,9.78,2.9,56,2.657894737,
EM1,12.6,0.178571429,8.96,15,46,13.3,
EM1,9.3,0.279069767,7.42,16,31,2.75,
EM1,3.7,0.323529412,3.08,22.1,23,2.181818182,
EM1,9.7,0.243243243,8.2,1.1,44,7.777777778,
EM1,9.4,0.219512195,7.72,33,33,7.888888889,
EM1,3.36,0.285714286,3.4,1.4,27,8.25,
EM1,2.6,0.394736842,3.27,17.7,17,2.866666667,
EM1,3.2,0.301886792,3.67,34.7,26,1.75,
EM1,12,0.23655914,8.99,13,47,3.409090909,
EM1,4.5,0.387755102,4.41,19.1,27,1.842105263,
EM1,3.5,0.351351351,3.1,10.6,14,1.846153846,
EM1,2.4,0.392857143,2.35,17.2,12,0.818181818,
EM1,5.1,0.2,3.44,0.86,17.8,2.272727273,
EM1,38.3,0.185185185,19.6,8.6,218,,
EM1,22.6,0.142857143,13.5,10.3,138,44.75,
EM1,13.1,0.3,12.9,9.3,121,4.242424242,
EM1,14.2,0.352112676,13,2.6,127,4.84,
EM1,11.7,0.10298103,15.1,7.4,125,3.657894737,
EM1,75.1,0.301659125,67.8,42.5,283,4.735,
EM1,,0.143478261,14.08,7.5,101,4.818181818,
EM1,,0.143410853,12.09,3.1,105,4.594594595,
EM1,,0.196551724,28.42,,172,5.070175439,
EM1,26,0.313131313,20.38,32,213,3.806451613,
EM1,26,0.316831683,20.99,26,222,3.984375,
EM1,2.662,0.141199226,3.52,1.85,22.25,3.301369863,
EM1,49,0.428571429,35.1,60,677,3.833333333,
EM1,28,0.4,22.1,29,290,4,
EM1,64,0.377777778,51.7,61,908,3.882352941,
EM1,,0.477366255,,56.1,,2.017241379,
EM1,,0.227621483,,78.6,,3.764044944,
EM1,,0.049517241,,,,34.26183844,
EM1,,0.098570354,,,,17.09923664,
EM1,,0.193918919,,13.5,,3.763066202,
EM1,,0.056357143,,,,25.22179975,
EM1,,0.564102564,,11.5,,1.354545455,
EM1,,0.285714286,,13.1,,6,
EM1,,0.18556701,,37.5,,4.722222222,
EM1,,0.195652174,,36.8,,5,
EM1,,0.177083333,,53,,4.529411765,
EM1,,0.186813187,,48.4,,4.882352941,
EM1,,0.180851064,,49.1,,4.647058824,
EM1,,0.193548387,,49.9,,4.5,
EM1,,0.175257732,,51.7,,4.764705882,
EM1,,0.173913043,,19.7,,6,
EM1,,0.417322835,,29.5,,2.150943396,
EM1,,0.220588235,,76.4,,4.133333333,
EM1,,0.258726899,,47.7,,4.103174603,
EM1,,0.220512821,,58.4,,4.744186047,
EM1,,0.167050691,,85.8,,3.972413793,
EM1,,0.068328446,,,,33.47639485,
EM1,,0.276086957,,32.8,,4.196850394,
EM1,,0.172413793,,,,4.88,
EM1,,0.481049563,,34,,2.763636364,
EM1,,0.396449704,,31.9,,3.208955224,
EM1,,0.371191136,,56.1,,3.201492537,
EM1,,0.298106061,,25.1,,4.485387548,
EM1,,0.455384615,,28,,3.513513514,
EM1,,0.454819277,,35.1,,3.397350993,
EM1,,0.0625,,,,3,
EM1,,0.308296943,,30.3,,3.966005666,
EM1,23.8,0.646341463,32.4,12.26,289,1.633423181,
EM1,22.3,0.164573269,26,21.07,309,2.181996086,
EM1,22.4,0.230607966,25.3,19.5,294,2.272727273,
EM1,10.5,0.157286432,14.7,7.11,132,4.536741214,
EM1,20.3,0.356896552,26.9,13.48,341,4.299516908,
EM1,18.5,0.20546875,22.3,4.31,308,4.828897338,
EM1,30,0.523887588,50,23.45,532,2.159141708,
EM1,38.1,0.165313653,48.6,35.06,945,4.787946429,
EM1,47.3,0.118939394,56,32.95,907,7.184713376,
EM1,37.1,0.158866545,46.3,33,927,4.833141542,
EM1,14.7,0.136697248,20.2,15.05,208,5.536912752,
EM1,14.5,0.145355191,18.4,18.87,243,6.203007519,
EM1,11.3,0.313125,16.6,19.87,116,3.313373253,
EM1,28.7,0.19175,43.8,9.81,129,4.041720991,
EM1,48.2,0.170431211,45.5,38.39,654,7.698795181,
EM1,14.2,0.337628866,27.3,27.32,201,2.717557252,
EM1,18.2,0.216425121,18.3,11.91,268,5.200892857,
EM1,6.9,0.152631579,7,3.45,82,4.195402299,
EM1,28.5,0.325203252,30.2,20.86,402,4.4875,
EM1,15.7,0.263636364,14.5,5.3,208,3.931034483,
EM1,42.5,0.233167082,44.6,33.72,660,5.219251337,
EM1,9.4,0.139344262,8.9,7.27,128,4.196078431,
EM1,19.5,0.253529412,20.4,14.14,189,4.709976798,
EM1,46.6,0.214772727,49.3,42.21,750,4.878306878,
EM1,31.5,0.190604027,29.6,11.48,237,4.683098592,
EM1,75.2,0.295154185,54.3,11.94,506,5.574626866,
EM1,27,0.628448276,27.6,16.98,352,4.499314129,
EM1,29,0.616153846,30.3,21.53,380,4.5443196,
EM1,27.6,0.29769821,26.9,21.28,263,2.225085911,
EM1,34.3,0.254945055,40.9,18.2,189,3.728448276,
EM1,20.5,0.326521739,23.6,36.8,210,2.796271638,
EM1,27.8,0.279069767,21.2,43,382,4.466666667,
EM1,16.9,0.343049327,19,41.2,130,2.366013072,
EM1,43.9,0.329355609,45.9,24,651,2.862318841,
EM1,9.57,0.227702703,11.7,30,218,2.940652819,
EM1,28.2,0.157608696,28.7,4.32,300,4.74137931,
EM1,8.3,0.202205882,12.6,13.9,116,4.218181818,
EM1,10.8,0.255625,12.6,14.1,106,3.985330073,
EM1,7.9,0.487826087,12,7.4,80,1.907308378,
EM1,9.6,0.154644809,14.4,7.8,101,4.911660777,
EM1,14.2,0.39245283,19.1,32.9,330,4.070512821,
EM1,20.7,0.096466431,24.4,16.3,232,9.157509158,
EM1,29.2,0.165340909,27.1,27.7,514,5.687285223,
EM1,10.5,0.347783251,13.8,18.5,136,1.983002833,
EM1,14.4,0.157847534,18.1,19.9,151,4.744318182,
EM1,62.4,0.25557656,72.9,52.5,1422,4.74112426,
EM1,11.1,0.214583333,14.5,9.9,144,5.67961165,
EM1,13.2,0.264646465,18.5,27.1,144,3.034351145,
EM1,52.2,0.17188656,81.7,38.8,736,4.720229555,
EM1,23.4,0.315254237,27.5,31.6,218,3.13172043,
EM1,9.6,0.275647668,13.6,18.6,93,2.669172932,
EM1,20.8,0.196491228,26.4,18.8,306,4.321428571,
EM1,24.1,0.146704871,28.2,22.5,335,5.078125,
EM1,19.4,0.222077922,20.2,17.4,193,6.198830409,
EM1,27.9,0.262869198,29.2,30.9,392,4.285714286,
EM1,60.9,0.41598579,67.9,56.3,735,4.931682323,
EM1,55.4,0.405479452,66.9,48.1,630,3.290540541,
EM1,51.2,0.280821918,42.2,40.8,587,4.780487805,
EM1,46.1,0.142202643,143,38.7,811,3.073110285,
EM1,29.6,0.222157434,37.6,32,350,4.737532808,
EM1,16.6,0.282233503,18.8,36,169,3.039568345,
EM1,23.9,0.172108467,14.51,4.77,166.4,5.118971061,
EM1,18.43,0.184390244,12.86,3.51,136.6,4.592592593,
EM1,21.84,0.794871795,13.68,1.96,30.1,0.616935484,
EM1,34.06,0.379381443,22.73,3.55,121.4,1.420289855,
EM1,,,,12.5,,,
EM1,30,,,7.22,528,,
EM1,21,,,18.3,276,,
EM1,22,,,2.29,343,,
EM1,53,,,38.1,626,,
EM1,28,,,19.9,451,,
EM1,31,,,19.2,358,,
EM1,8.3,,,6.03,110,,
EM1,7,,,1.72,74,,
EM1,53,0.342268041,67.5,22.1,709,3.680722892,
EM1,24.8,0.25026178,25.6,35.7,344,5.543933054,
EM1,25.8,0.316161616,26.2,22.9,351,4.408945687,
EM1,31.1,0.226331361,36.5,31.8,1229,4.352941176,
EM1,43.5,0.241265823,42.9,20,623,4.470094439,
EM1,62.4,0.479905437,71.6,29.6,854,3.428571429,
EM1,42.3,0.157967667,39.5,15.8,371,7.558479532,
EM1,62,0.284369115,74.2,41.4,861,4.655629139,
EM1,42.5,0.3125,65.3,19.5,433,4.48,
EM1,17.9,0.318367347,15.5,9.29,146,3.397435897,
EM1,26,0.266666667,32,4.5,300,4.325,
EM1,25,0.306896552,33,3.5,299,3.752808989,
EM1,25,0.255555556,28,4.8,326,4.289855072,
EM1,26,0.321875,31,3.6,276,3.504854369,
EM1,31,0.446,51,14.7,419,2.381165919,
EM1,25,0.328,28,3.9,470,3.756097561,
EM1,25,0.378947368,28,17.8,345,4.402777778,
EM1,2.29,0.233333333,4.48,0.32,4.75,2.285714286,
EM1,24.1,0.163101604,61.4,26,854,5.213114754,
EM1,30.6,0.232638889,57.9,13.2,694,2.589552239,
EM1,32.8,0.274074074,83.5,14,756,1.966216216,
EM1,40.5,0.252619325,57.7,15.4,621,2.050691244,
EM1,31.3,0.251559252,42.2,8.68,321,2.652892562,
EM1,31.8,0.384146341,29.2,5.99,372,2.595238095,
EM1,30.5,0.611111111,28.8,11.9,414,1.560606061,
EM1,33.7,0.25,38,31.3,658,4.3,
EM1,25,0.225274725,29.5,5.4,301,4.74796748,
EM1,24.2,0.266181818,29.8,5.09,215,4.00273224,
EM1,,0.255813953,,,,3.727272727,
EM1,,0.075342466,,,,2.363636364,
EM1,,,2.3,,15,,
EM1,,,4.6,,44,,
EM1,12.3,1.161290323,26.4,45.5,66.3,1.027777778,
EM1,15.7,0.220264317,49,45.8,83.4,2.66,
EM1,,0.323529412,,,,3.181818182,
EM1,,0.363636364,,,,1.833333333,
EM1,32.4,0.076099881,59.65,21.59,592,3.5,
EM1,33.4,0.080347448,28.35,15.24,371,3.067567568,
EM1,17.2,0.129882353,24.7,19.9,361,4.329710145,
EM1,17.2,0.129882353,24.7,19.9,361,4.329710145,
EM1,25.6,0.113181818,39,23,587,5.073627845,
EM1,25.6,0.113181818,39,23,587,5.073627845,
EM1,5.07,0.144599303,8.03,25.4,117,2.891566265,
EM1,5.07,0.144599303,8.03,25.4,117,2.891566265,
EM1,5.19,0.097026022,9.5,13.8,142,5.363984674,
EM1,5.19,0.097026022,9.5,13.8,142,5.363984674,
